Subject,ckOrder,ckCode,ckAlignCode,StrandCode,Strand/Domain,Category/Cluster,CCSS Standard,,,GRADE,STRAND,#,letter,merged for check against ckCode,PARSED CODES are grouped here - these have been checked against column C and all miskeys should be corrected as of 4/9/12
ELA,289,3.W.6,3W.6,W3.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, use technology to produce and publish writing (using keyboarding skills) as well as to interact and collaborate with others.",,,3,W,6,,3.W.6,
ELA,290,3.W.7,3W.7,W3.7,Writing,Research to Build and Present Knowledge,Conduct short research projects that build knowledge about a topic.,,,3,W,7,,3.W.7,
ELA,291,3.W.8,3W.8,W3.8,Writing,Research to Build and Present Knowledge,Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.,,,3,W,8,,3.W.8,
ELA,292,3.W.9,3W.9,W3.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4),,,3,W,9,,3.W.9,
ELA,293,3.W.10,3W.10,W3.10,Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,3,W,10,,3.W.10,
ELA,294,3.SL.1,3SL.1,SL3.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others’ ideas and expressing their own clearly.",,,3,SL,1,,3.SL.1,
ELA,295,3.SL.1.a,3SL.1.a,SL3.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,3,SL,1,a,3.SL.1.a,
ELA,296,3.SL.1.b,3SL.1.b,SL3.1.b,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).",,,3,SL,1,b,3.SL.1.b,
ELA,297,3.SL.1.c,3SL.1.c,SL3.1.c,Speaking & Listening,Comprehension and Collaboration,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others.",,,3,SL,1,c,3.SL.1.c,
ELA,298,3.SL.1.d,3SL.1.d,SL3.1.d,Speaking & Listening,Comprehension and Collaboration,Explain their own ideas and understanding in light of the discussion.,,,3,SL,1,d,3.SL.1.d,
ELA,299,3.SL.2,3SL.2,SL3.2,Speaking & Listening,Comprehension and Collaboration,"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,3,SL,2,,3.SL.2,
ELA,300,3.SL.3,3SL.3,SL3.3,Speaking & Listening,Comprehension and Collaboration,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.",,,3,SL,3,,3.SL.3,
ELA,301,3.SL.4,3SL.4,SL3.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace.",,,3,SL,4,,3.SL.4,
ELA,302,3.SL.5,3SL.5,SL3.5,Speaking & Listening,Presentation of Knowledge and Ideas,Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details.,,,3,SL,5,,3.SL.5,
ELA,303,3.SL.6,3SL.6,SL3.6,Speaking & Listening,Presentation of Knowledge and Ideas,Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification.,,,3,SL,6,,3.SL.6,
ELA,304,3.L.1,3L.1,L3.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,3,L,1,,3.L.1,
ELA,305,3.L.1.a,3L.1.a,L3.1.a,Language,Conventions of Standard English,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",,,3,L,1,a,3.L.1.a,
ELA,306,3.L.1.b,3L.1.b,L3.1.b,Language,Conventions of Standard English,Form and use regular and irregular plural nouns.,,,3,L,1,b,3.L.1.b,
ELA,307,3.L.1.c,3L.1.c,L3.1.c,Language,Conventions of Standard English,"Use abstract nouns (e.g., childhood).",,,3,L,1,c,3.L.1.c,
ELA,308,3.L.1.d,3L.1.d,L3.1.d,Language,Conventions of Standard English,Form and use regular and irregular verbs.,,,3,L,1,d,3.L.1.d,
ELA,309,3.L.1.e,3L.1.e,L3.1.e,Language,Conventions of Standard English,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses.",,,3,L,1,e,3.L.1.e,
ELA,310,3.L.1.f,3L.1.f,L3.1.f,Language,Conventions of Standard English,Ensure subject-verb and pronoun-antecedent agreement.*,,,3,L,1,f,3.L.1.f,
ELA,311,3.L.1.g,3L.1.g,L3.1.g,Language,Conventions of Standard English,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.",,,3,L,1,g,3.L.1.g,
ELA,312,3.L.1.h,3L.1.h,L3.1.h,Language,Conventions of Standard English,Use coordinating and subordinating conjunctions.,,,3,L,1,h,3.L.1.h,
ELA,313,3.L.1.i,3L.1.i,L3.1.i,Language,Conventions of Standard English,"Produce simple, compound, and complex sentences.",,,3,L,1,i,3.L.1.i,
ELA,314,3.L.2,3L.2,L3.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,3,L,2,,3.L.2,
ELA,315,3.L.2.a,3L.2.a,L3.2.a,Language,Conventions of Standard English,Capitalize appropriate words in titles.,,,3,L,2,a,3.L.2.a,
ELA,316,3.L.2.b,3L.2.b,L3.2.b,Language,Conventions of Standard English,Use commas in addresses.,,,3,L,2,b,3.L.2.b,
ELA,317,3.L.2.c,3L.2.c,L3.2.c,Language,Conventions of Standard English,Use commas and quotation marks in dialogue.,,,3,L,2,c,3.L.2.c,
ELA,318,3.L.2.d,3L.2.d,L3.2.d,Language,Conventions of Standard English,Form and use possessives.,,,3,L,2,d,3.L.2.d,
ELA,319,3.L.2.e,3L.2.e,L3.2.e,Language,Conventions of Standard English,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness).",,,3,L,2,e,3.L.2.e,
ELA,320,3.L.2.f,3L.2.f,L3.2.f,Language,Conventions of Standard English,"Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words.",,,3,L,2,f,3.L.2.f,
ELA,321,3.L.2.g,3L.2.g,L3.2.g,Language,Conventions of Standard English,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",,,3,L,2,g,3.L.2.g,
ELA,322,3.L.3,3L.3,L3.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,3,L,3,,3.L.3,
ELA,323,3.L.3.a,3L.3.a,L3.3.a,Language,Knowledge of Language,Choose words and phrases for effect.*,,,3,L,3,a,3.L.3.a,
ELA,324,3.L.3.b,3L.3.b,L3.3.b,Language,Knowledge of Language,Recognize and observe differences between the conventions of spoken and written standard English.,,,3,L,3,b,3.L.3.b,
ELA,325,3.L.4,3L.4,L3.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies.",,,3,L,4,,3.L.4,
ELA,326,3.L.4.a,3L.4.a,L3.4.a,Language,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.,,,3,L,4,a,3.L.4.a,
ELA,327,3.L.4.b,3L.4.b,L3.4.b,Language,Vocabulary Acquisition and Use,"Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat).",,,3,L,4,b,3.L.4.b,
ELA,328,3.L.4.c,3L.4.c,L3.4.c,Language,Vocabulary Acquisition and Use,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion).",,,3,L,4,c,3.L.4.c,
ELA,329,3.L.4.d,3L.4.d,L3.4.d,Language,Vocabulary Acquisition and Use,"Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases.",,,3,L,4,d,3.L.4.d,
ELA,330,3.L.5,3L.5,L3.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",,,3,L,5,,3.L.5,
ELA,331,3.L.5.a,3L.5.a,L3.5.a,Language,Vocabulary Acquisition and Use,"Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps).",,,3,L,5,a,3.L.5.a,
ELA,332,3.L.5.b,3L.5.b,L3.5.b,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful).",,,3,L,5,b,3.L.5.b,
ELA,333,3.L.5.c,3L.5.c,L3.5.c,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered).",,,3,L,5,c,3.L.5.c,
ELA,334,3.L.6,3L.6,L3.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",,,3,L,6,,3.L.6,
ELA,335,4.RL.1,4RL.1,RL4.1,Reading Literature,Key Ideas and Details,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,,,4,RL,1,,4.RL.1,
ELA,336,4.RL.2,4RL.2,RL4.2,Reading Literature,Key Ideas and Details,"Determine a theme of a story, drama, or poem from details in the text; summarize the text.",,,4,RL,2,,4.RL.2,
ELA,337,4.RL.3,4RL.3,RL4.3,Reading Literature,Key Ideas and Details,"Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character’s thoughts, words, or actions).",,,4,RL,3,,4.RL.3,
ELA,338,4.RL.4,4RL.4,RL4.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean).",,,4,RL,4,,4.RL.4,
ELA,339,4.RL.5,4RL.5,RL4.5,Reading Literature,Craft and Structure,"Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text.",,,4,RL,5,,4.RL.5,
ELA,340,4.RL.6,4RL.6,RL4.6,Reading Literature,Craft and Structure,"Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations.",,,4,RL,6,,4.RL.6,
ELA,341,4.RL.7,4RL.7,RL4.7,Reading Literature,Integration of Knowledge and Ideas,"Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text.",,,4,RL,7,,4.RL.7,
ELA,342,4.RL.8,4RL.8,RL4.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,4,RL,8,,4.RL.8,
ELA,343,4.RL.9,4RL.9,RL4.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures.",,,4,RL,9,,4.RL.9,
ELA,344,4.RL.10,4RL.10,RL4.10,Reading Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4–5 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,4,RL,10,,4.RL.10,
ELA,345,4.RI.1,4RI.1,RI4.1,Reading Informational,Key Ideas and Details,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,,,4,RI,1,,4.RI.1,
ELA,346,4.RI.2,4RI.2,RI4.2,Reading Informational,Key Ideas and Details,Determine the main idea of a text and explain how it is supported by key details; summarize the text.,,,4,RI,2,,4.RI.2,
ELA,347,4.RI.3,4RI.3,RI4.3,Reading Informational,Key Ideas and Details,"Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text.",,,4,RI,3,,4.RI.3,
ELA,348,4.RI.4,4RI.4,RI4.4,Reading Informational,Craft and Structure,Determine the meaning of general academic and domain-specific words or phrases in a text relevant to a grade 4 topic or subject area.,,,4,RI,4,,4.RI.4,
ELA,349,4.RI.5,4RI.5,RI4.5,Reading Informational,Craft and Structure,"Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text.",,,4,RI,5,,4.RI.5,
ELA,350,4.RI.6,4RI.6,RI4.6,Reading Informational,Craft and Structure,Compare and contrast a firsthand and secondhand account of the same event or topic; describe the differences in focus and the information provided.,,,4,RI,6,,4.RI.6,
ELA,351,4.RI.7,4RI.7,RI4.7,Reading Informational,Integration of Knowledge and Ideas,"Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears.",,,4,RI,7,,4.RI.7,
ELA,352,4.RI.8,4RI.8,RI4.8,Reading Informational,Integration of Knowledge and Ideas,Explain how an author uses reasons and evidence to support particular points in a text.,,,4,RI,8,,4.RI.8,
ELA,353,4.RI.9,4RI.9,RI4.9,Reading Informational,Integration of Knowledge and Ideas,Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably.,,,4,RI,9,,4.RI.9,
ELA,354,4.RI.10,4RI.10,RI4.10,Reading Informational,Range of Reading and Level of Text Complexity,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4–5 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,4,RI,10,,4.RI.10,
ELA,355,4.RF.1,4RF.1,RF4.1,Reading Foundational Skills,Print Concepts,(Specific to K and 1),,,4,RF,1,,4.RF.1,
ELA,356,4.RF.2,4RF.2,RF4.2,Reading Foundational Skills,Phonological Awareness,(Specific to K and 1),,,4,RF,2,,4.RF.2,
ELA,357,4.RF.3,4RF.3,RF4.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,4,RF,3,,4.RF.3,
ELA,358,4.RF.3.a,4RF.3.a,RF4.3.a,Reading Foundational Skills,Phonics and Word recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.",,,4,RF,3,a,4.RF.3.a,
ELA,359,4.RF.4,4RF.4,RF4.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.,,,4,RF,4,,4.RF.4,
ELA,360,4.RF.4.a,4RF.4.a,RF4.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.,,,4,RF,4,a,4.RF.4.a,
ELA,361,4.RF.4.b,4RF.4.b,RF4.4.b,Reading Foundational Skills,Fluency,"Read on-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",,,4,RF,4,b,4.RF.4.b,
ELA,362,4.RF.4.c,4RF.4.c,RF4.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,4,RF,4,c,4.RF.4.c,
ELA,363,4.W.1,4W.1,W4.1,Writing,Text Types and Purposes,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information.",,,4,W,1,,4.W.1,
ELA,364,4.W.1.a,4W.1.a,W4.1.a,Writing,Text Types and Purposes,"Introduce a topic or text clearly, state an opinion, and create an organizational structure in which related ideas are grouped to support the writer’s purpose.",,,4,W,1,a,4.W.1.a,
ELA,365,4.W.1.b,4W.1.b,W4.1.b,Writing,Text Types and Purposes,Provide reasons that are supported by facts and details.,,,4,W,1,b,4.W.1.b,
ELA,366,4.W.1.c,4W.1.c,W4.1.c,Writing,Text Types and Purposes,"Link opinion and reasons using words and phrases (e.g., for instance, in order to, in addition).",,,4,W,1,c,4.W.1.c,
ELA,367,4.W.1.d,4W.1.d,W4.1.d,Writing,Text Types and Purposes,Provide a concluding statement or section related to the opinion presented.,,,4,W,1,d,4.W.1.d,
ELA,368,4.W.2,4W.2,W4.2,Writing,Text Types and Purposes,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.,,,4,W,2,,4.W.2,
ELA,369,4.W.2.a,4W.2.a,W4.2.a,Writing,Text Types and Purposes,"Introduce a topic clearly and group related information in paragraphs and sections; include formatting (e.g., headings), illustrations, and multimedia when useful to aiding comprehension.",,,4,W,2,a,4.W.2.a,
ELA,370,4.W.2.b,4W.2.b,W4.2.b,Writing,Text Types and Purposes,"Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic.",,,4,W,2,b,4.W.2.b,
ELA,371,4.W.2.c,4W.2.c,W4.2.c,Writing,Text Types and Purposes,"Link ideas within categories of information using words and phrases (e.g., another, for example, also, because).",,,4,W,2,c,4.W.2.c,
ELA,372,4.W.2.d,4W.2.d,W4.2.d,Writing,Text Types and Purposes,d.Use precise language and domain-specific vocabulary to inform about or explain the topic.,,,4,W,2,d,4.W.2.d,
ELA,373,4.W.2.e,4W.2.e,W4.2.e,Writing,Text Types and Purposes,Provide a concluding statement or section related to the information or explanation presented.,,,4,W,2,e,4.W.2.e,
ELA,374,4.W.3,4W.3,W4.3,Writing,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences.",,,4,W,3,,4.W.3,
ELA,375,4.W.3.a,4W.3.a,W4.3.a,Writing,Text Types and Purposes,Orient the reader by establishing a situation and introducing a narrator and/or characters; organize an event sequence that unfolds naturally.,,,4,W,3,a,4.W.3.a,
ELA,376,4.W.3.b,4W.3.b,W4.3.b,Writing,Text Types and Purposes,Use dialogue and description to develop experiences and events or show the responses of characters to situations.,,,4,W,3,b,4.W.3.b,
ELA,377,4.W.3.c,4W.3.c,W4.3.c,Writing,Text Types and Purposes,Use a variety of transitional words and phrases to manage the sequence of events.,,,4,W,3,c,4.W.3.c,
ELA,378,4.W.3.d,4W.3.d,W4.3.d,Writing,Text Types and Purposes,Use concrete words and phrases and sensory details to convey experiences and events precisely.,,,4,W,3,d,4.W.3.d,
ELA,379,4.W.3.e,4W.3.e,W4.3.e,Writing,Text Types and Purposes,Provide a conclusion that follows from the narrated experiences or events.,,,4,W,3,e,4.W.3.e,
ELA,380,4.W.4,4W.4,W4.4,Writing,Production and Distribution of Writing,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)",,,4,W,4,,4.W.4,
ELA,381,4.W.5,4W.5,W4.5,Writing,Production and Distribution of Writing,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing.",,,4,W,5,,4.W.5,
ELA,382,4.W.6,4W.6,W4.6,Writing,Production and Distribution of Writing,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of one page in a single sitting.",,,4,W,6,,4.W.6,
ELA,383,4.W.7,4W.7,W4.7,Writing,Research to Build and Present Knowledge,Conduct short research projects that build knowledge through investigation of different aspects of a topic.,,,4,W,7,,4.W.7,
ELA,384,4.W.8,4W.8,W4.8,Writing,Research to Build and Present Knowledge,"Recall relevant information from experiences or gather relevant information from print and digital sources; take notes and categorize information, and provide a list of sources.",,,4,W,8,,4.W.8,
ELA,385,4.W.9,4W.9,W4.9,Writing,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,4,W,9,,4.W.9,
ELA,386,4.W.9.a,4W.9.a,W4.9.a,Writing,Research to Build and Present Knowledge,"Apply grade 4 Reading standards to literature (e.g., “Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text [e.g., a character’s thoughts, words, or actions].”).",,,4,W,9,a,4.W.9.a,
ELA,387,4.W.9.b,4W.9.b,W4.9.b,Writing,Research to Build and Present Knowledge,"Apply grade 4 Reading standards to informational texts (e.g., “Explain how an author uses reasons and evidence to support particular points in a text”).",,,4,W,9,b,4.W.9.b,
ELA,388,4.W.10,4W.10,W4.10,Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,4,W,10,,4.W.10,
ELA,389,4.SL.1,4SL.1,SL4.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 4 topics and texts, building on others’ ideas and expressing their own clearly.",,,4,SL,1,,4.SL.1,
ELA,390,4.SL.1.a,4SL.1.a,SL4.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,4,SL,1,a,4.SL.1.a,
ELA,391,4.SL.1.b,4SL.1.b,SL4.1.b,Speaking & Listening,Comprehension and Collaboration,Follow agreed-upon rules for discussions and carry out assigned roles.,,,4,SL,1,b,4.SL.1.b,
ELA,392,4.SL.1.c,4SL.1.c,SL4.1.c,Speaking & Listening,Comprehension and Collaboration,"Pose and respond to specific questions to clarify or follow up on information, and make comments that contribute to the discussion and link to the remarks of others.",,,4,SL,1,c,4.SL.1.c,
ELA,393,4.SL.1.d,4SL.1.d,SL4.1.d,Speaking & Listening,Comprehension and Collaboration,Review the key ideas expressed and explain their own ideas and understanding in light of the discussion.,,,4,SL,1,d,4.SL.1.d,
ELA,394,4.SL.2,4SL.2,SL4.2,Speaking & Listening,Comprehension and Collaboration,"Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,4,SL,2,,4.SL.2,
ELA,395,4.SL.3,4SL.3,SL4.3,Speaking & Listening,Comprehension and Collaboration,Identify the reasons and evidence a speaker provides to support particular points.,,,4,SL,3,,4.SL.3,
ELA,396,4.SL.4,4SL.4,SL4.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text, tell a story, or recount an experience in an organized manner, using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",,,4,SL,4,,4.SL.4,
ELA,397,4.SL.5,4SL.5,SL4.5,Speaking & Listening,Presentation of Knowledge and Ideas,Add audio recordings and visual displays to presentations when appropriate to enhance the development of main ideas or themes.,,,4,SL,5,,4.SL.5,
ELA,398,4.SL.6,4SL.6,SL4.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion); use formal English when appropriate to task and situation.",,,4,SL,6,,4.SL.6,
ELA,399,4.L.1,4L.1,L4.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,4,L,1,,4.L.1,
ELA,400,4.L.1.a,4L.1.a,L4.1.a,Language,Conventions of Standard English,"Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why).",,,4,L,1,a,4.L.1.a,
ELA,401,4.L.1.b,4L.1.b,L4.1.b,Language,Conventions of Standard English,"Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses.",,,4,L,1,b,4.L.1.b,
ELA,402,4.L.1.c,4L.1.c,L4.1.c,Language,Conventions of Standard English,"Use modal auxiliaries (e.g., can, may, must) to convey various conditions.",,,4,L,1,c,4.L.1.c,
ELA,403,4.L.1.d,4L.1.d,L4.1.d,Language,Conventions of Standard English,"Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag).",,,4,L,1,d,4.L.1.d,
ELA,404,4.L.1.e,4L.1.e,L4.1.e,Language,Conventions of Standard English,Form and use prepositional phrases.,,,4,L,1,e,4.L.1.e,
ELA,405,4.L.1.f,4L.1.f,L4.1.f,Language,Conventions of Standard English,"Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.*",,,4,L,1,f,4.L.1.f,
ELA,406,4.L.1.g,4L.1.g,L4.1.g,Language,Conventions of Standard English,"Correctly use frequently confused words (e.g., to, too, two; there, their).*",,,4,L,1,g,4.L.1.g,
ELA,407,4.L.2,4L.2,L4.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,4,L,2,,4.L.2,
ELA,408,4.L.2.a,4L.2.a,L4.2.a,Language,Conventions of Standard English,Use correct capitalization.,,,4,L,2,a,4.L.2.a,
ELA,409,4.L.2.b,4L.2.b,L4.2.b,Language,Conventions of Standard English,Use commas and quotation marks to mark direct speech and quotations from a text.,,,4,L,2,b,4.L.2.b,
ELA,410,4.L.2.c,4L.2.c,L4.2.c,Language,Conventions of Standard English,Use a comma before a coordinating conjunction in a compound sentence.,,,4,L,2,c,4.L.2.c,
ELA,411,4.L.2.d,4L.2.d,L4.2.d,Language,Conventions of Standard English,"Spell grade-appropriate words correctly, consulting references as needed.",,,4,L,2,d,4.L.2.d,
ELA,412,4.L.3,4L.3,L4.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,4,L,3,,4.L.3,
ELA,413,4.L.3.a,4L.3.a,L4.3.a,Language,Knowledge of Language,Choose words and phrases to convey ideas precisely.*,,,4,L,3,a,4.L.3.a,
ELA,414,4.L.3.b,4L.3.b,L4.3.b,Language,Knowledge of Language,Choose punctuation for effect.*,,,4,L,3,b,4.L.3.b,
ELA,415,4.L.3.c,4L.3.c,L4.3.c,Language,Knowledge of Language,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion).",,,4,L,3,c,4.L.3.c,
ELA,416,4.L.4,4L.4,L4.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies.",,,4,L,4,,4.L.4,
ELA,417,4.L.4.a,4L.4.a,L4.4.a,Language,Vocabulary Acquisition and Use,"Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase.",,,4,L,4,a,4.L.4.a,
ELA,418,4.L.4.b,4L.4.b,L4.4.b,Language,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph).",,,4,L,4,b,4.L.4.b,
ELA,419,4.L.4.c,4L.4.c,L4.4.c,Language,Vocabulary Acquisition and Use,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases.",,,4,L,4,c,4.L.4.c,
ELA,420,4.L.5,4L.5,L4.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,4,L,5,,4.L.5,
ELA,421,4.L.5.a,4L.5.a,L4.5.a,Language,Vocabulary Acquisition and Use,"Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context.",,,4,L,5,a,4.L.5.a,
ELA,422,4.L.5.b,4L.5.b,L4.5.b,Language,Vocabulary Acquisition and Use,"Recognize and explain the meaning of common idioms, adages, and proverbs.",,,4,L,5,b,4.L.5.b,
ELA,423,4.L.5.c,4L.5.c,L4.5.c,Language,Vocabulary Acquisition and Use,Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms).,,,4,L,5,c,4.L.5.c,
ELA,424,4.L.6,4L.6,L4.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation).",,,4,L,6,,4.L.6,
ELA,425,5.RL.1,5RL.1,RL5.1,Reading Literature,Key Ideas and Details,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,,,5,RL,1,,5.RL.1,
ELA,426,5.RL.2,5RL.2,RL5.2,Reading Literature,Key Ideas and Details,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text.",,,5,RL,2,,5.RL.2,
